"Where is your off button?",
"I know you don't like me, and that implies you need better taste.",
"I'm no an astronomer, but I'm pretty sure the Earth revolves around the sun… not you.",
"I'd give you a nasty look, but it seems like you've already got one.",
"Your birth certificate should be rewritten as a letter of apology",
"You haven't changed since the last time I saw you. You really should.",
"Your bad personality is the reason I prefer animals to humans.",
"You hear that? It's the sound of me not caring.",
"I might be fully vaccinated, but I'm still not going to hang out with you.",
"You're so annoying, you could make a Happy Meal cry.",
"Oh, sorry, did the middle of my sentence interrupt the beginning of yours?",
"You know, you're just not pretty enough to have such an ugly personality.",
"You just might be why the middle finger was invented in the first place.",
"You have a face that makes onions cry.",
"Have a nice day… somewhere else.",
"You do realize we're just tolerating you, right?",
"Were you born this stupid or did you take lessons?",
"It's really fun watching you try to understand everything that's being said about you.",
"You are even more useless than the 'ueue' in queue.",
"The real heroes in this world are the ones who have to live with you.",
"Somewhere out there a tree is producing oxygen for you. What a shame.",
"Everyone is allowed to act stupid once in a while, but you're really abusing the privilege.",
"If you're going to be two-faced, at least make one of them pretty.",
"I was today years old when I realized I didn't like you.",
"I'm not a nerd; I'm just smarter than you.",
"If I had a dollar every time you shut up, I would give it back as a thank you.",
"I didn't mean to offend you… but I'll take it as an additional perk.",
"I don't want to rain on your parade. I want to summon a typhoon.",
"You can't imagine how much happiness you can bring… by leaving the room.",
"I've been called worse things by better men.",
"I didn't mean to push your buttons, I was just looking for mute.",
"I forgot the world revolves around you. My apologies! How silly of me.",
"I'd rather treat a baby's diaper rash than have lunch with you.",
"I would smack you, but I'm against animal abuse.",
"I gave out all my trophies a while ago, but here's a participation award.",
"It's all about balance… you start talking, I stop listening."
